ER60001;ER60002;ER60017;ER60018;ER60019;ER60020;ER60025;ER62366;ER62449;ER62484;ER62486;ER62488;ER62491;ER62499;ER62502;ER62505;ER63482;ER63565;ER63600;ER63602;ER63604;ER63607;ER63615;ER63618;ER63621;ER64674;ER64676;ER64730;ER64813;ER64815;ER64869;ER65019;ER65067;ER65216;ER65244;ER66001;ER66002;ER66017;ER66018;ER66019;ER66020;ER66025;ER68420;ER68512;ER68549;ER68551;ER68553;ER68556;ER68564;ER68567;ER68570;ER69547;ER69639;ER69676;ER69678;ER69680;ER69683;ER69691;ER69694;ER69697;ER70747;ER70749;ER70803;ER70885;ER70887;ER70941;ER71111;ER71159;ER71293;ER71321;ER72001;ER72002;ER72017;ER72018;ER72019;ER72020;ER72025;ER74428;ER74520;ER74557;ER74559;ER74561;ER74564;ER74572;ER74575;ER74578;ER75555;ER75647;ER75684;ER75686;ER75688;ER75691;ER75699;ER75702;ER75705;ER76755;ER76757;ER76815;ER76900;ER76902;ER76960;ER77133;ER77181;ER77315;ER77343;Blanks
1;3663;49;1;43;2;2;3;0;3;2;0;0;10;0;0;3;0;4;7;3;5;4;0;0;0;3;8;0;3;8;52;37;87000;18000;2;5581;51;1;45;2;2;3;0;0;0;0;0;6;0;0;3;0;5;0;0;10;4;0;0;0;3;8;0;3;8;40;37;102000;17250;1;3758;54;1;47;2;3;3;0;1;1;0;0;6;0;0;3;0;0;1;0;7;3;0;0;0;3;6;0;3;6;40;37;90000;17000;0
1;4425;53;1;50;2;2;2;0;0;0;0;30;6;0;0;2;0;2;3;0;0;2;0;0;0;3;8;0;1;8;50;40;72000;68000;2;5382;55;1;52;2;2;2;0;0;1;0;30;6;0;0;2;0;4;4;0;0;2;0;0;0;3;8;0;1;8;40;40;75000;65000;1;3784;57;1;55;2;2;3;0;2;5;0;30;4;0;0;3;0;2;4;0;0;2;0;0;0;3;6;0;1;6;55;40;74000;68000;0
1;5193;26;1;27;2;3;2;0;7;7;5;0;3;0;0;2;0;7;7;0;0;3;0;0;0;5;8;0;5;0;40;40;55000;40000;2;5254;28;1;29;2;2;2;0;7;20;0;0;2;0;0;2;0;7;7;3;0;2;0;0;0;5;8;0;5;0;40;40;50000;40000;1;3671;30;1;31;2;2;2;0;0;7;0;0;3;0;0;2;0;1;2;0;0;2;0;0;0;5;6;0;5;1;40;40;35000;40000;0
1;3033;73;2;0;0;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;0;0;0;0;2;511;75;2;0;0;3;4;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;0;0;0;0;1;2824;77;2;0;0;3;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;13;0;0;0;0;0
1;8715;35;2;0;0;2;2;0;3;3;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;15;0;47000;0;2;8039;37;2;0;0;3;1;0;4;4;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;40;0;75000;0;1;1737;38;2;0;0;2;3;6;7;7;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;50;0;62000;0;0
1;4975;61;1;60;2;2;2;0;2;6;0;0;1;0;0;2;0;7;7;1;0;1;0;0;0;3;8;0;3;8;0;18;0;8334;2;6652;63;1;62;2;2;3;0;110;5;110;0;2;0;0;2;0;10;8;1;0;1;0;0;0;3;8;0;3;8;0;20;0;2400;1;998;65;1;64;2;2;3;0;5;7;0;0;1;0;0;2;0;3;7;2;0;1;0;0;0;3;26;0;3;26;0;7;0;0;0
1;747;34;1;28;2;2;3;0;1;1;998;0;0;0;0;2;0;1;4;1;0;1;0;0;0;3;0;0;3;0;40;60;35000;47500;2;6437;36;1;30;2;2;4;0;0;2;1;0;0;0;0;3;0;3;2;2;0;2;0;0;0;3;0;0;3;0;50;50;60000;60000;1;887;38;1;32;2;2;4;0;2;5;0;0;0;0;0;3;0;5;5;1;0;2;0;0;0;3;2;0;3;3;60;60;50000;40000;0
1;2663;67;1;58;2;2;2;1;0;0;0;0;0;0;0;2;0;3;5;0;0;2;0;0;0;3;8;0;5;8;50;16;0;8650;2;2156;69;1;61;2;2;2;1;5;5;0;0;0;0;0;2;6;5;5;2;0;0;0;0;0;3;8;0;5;8;50;0;0;0;1;482;71;1;62;2;2;2;0;0;0;0;0;0;0;0;2;0;4;5;0;0;0;0;0;0;3;6;0;5;6;50;0;0;0;0
1;793;60;1;59;2;2;2;0;2;7;2;0;1;0;0;2;0;2;2;2;0;1;0;0;0;5;1;0;5;1;0;24;0;44000;2;5142;63;1;61;2;2;2;0;0;7;0;0;1;0;0;2;0;0;5;0;0;0;0;0;0;5;1;0;5;1;0;36;3600;60000;1;3519;64;1;63;2;2;2;0;0;20;0;0;1;0;0;2;0;2;4;1;0;1;0;0;0;5;99;0;5;99;0;0;0;0;0
1;2538;57;2;0;0;2;1;0;3;6;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;50;0;0;0;2;8774;59;2;0;0;4;2;0;1;7;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;30;0;0;0;1;3740;61;2;0;0;2;3;0;4;4;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;99;25;0;0;0;0
